quarter,cll,official,sinyi,cathay,aife
2000Q1,0.770928,,,,
2000Q2,0.775155,,,,
2000Q3,0.756986,,,,
2000Q4,0.749533,,,,
2001Q1,0.736725,,0.409499,,
2001Q2,0.729074,,0.40366,,
2001Q3,0.717445,,0.399731,,
2001Q4,0.686703,,0.394678,,
2002Q1,0.690115,,0.399843,,
2002Q2,0.694928,,0.409499,,
2002Q3,0.686248,,0.407927,,
2002Q4,0.664666,,0.409724,,
2003Q1,0.658683,,0.413429,,
2003Q2,0.651775,,0.405906,,
2003Q3,0.655516,,0.428812,,
2003Q4,0.665179,,0.439591,,
2004Q1,0.685265,,0.460813,0.59809,
2004Q2,0.74482,,0.477656,0.63668,
2004Q3,0.688299,,0.487424,0.628033,
2004Q4,0.690707,,0.499551,0.640681,
2005Q1,0.717051,,0.505614,0.643134,
2005Q2,0.724997,,0.517516,0.644166,
2005Q3,0.727121,,0.52706,0.628678,
2005Q4,0.737069,,0.540759,0.65604,
2006Q1,0.746626,,0.543342,0.679788,
2006Q2,0.761291,,0.569616,0.671657,
2006Q3,0.763404,,0.577925,0.688049,
2006Q4,0.777197,,0.602515,0.696567,
2007Q1,0.755596,,0.623063,0.7389,
2007Q2,0.803692,,0.640467,0.746902,
2007Q3,0.794139,,0.634853,0.757357,
2007Q4,0.806291,,0.624972,0.782912,
2008Q1,0.823381,,0.657197,0.778911,
2008Q2,0.838946,,0.670559,0.807047,
2008Q3,0.827102,,0.653829,0.809628,
2008Q4,0.808827,,0.621267,0.802143,
2009Q1,0.799626,,0.625758,0.743418,
2009Q2,0.825866,,0.662699,0.770263,
2009Q3,0.847817,,0.706265,0.766004,
2009Q4,0.877225,,0.730968,0.816727,
2010Q1,0.896098,,0.756793,0.845509,
2010Q2,0.904757,,0.782394,0.870676,
2010Q3,0.939328,,0.802493,0.889391,
2010Q4,0.970487,,0.846733,0.911203,
2011Q1,0.994834,,0.884348,0.947599,
2011Q2,0.905874,,0.895688,0.979608,
2011Q3,0.93538,,0.921177,0.985287,
2011Q4,0.944698,,0.929373,0.963087,
2012Q1,0.95538,,0.946328,0.993934,
2012Q2,1.010261,,0.987986,1.050981,
2012Q3,1.0,1.0,1.0,1.0,1.0
2012Q4,1.027113,1.010005,1.019425,1.063113,1.01988
2013Q1,1.070299,1.048885,1.061419,1.094089,1.060441
2013Q2,1.122806,1.098151,1.140467,1.121838,1.112179
2013Q3,1.160903,1.126393,1.150236,1.127775,1.160226
2013Q4,1.203423,1.149569,1.173366,1.199793,1.199464
2014Q1,1.230917,1.190856,1.190546,1.169721,1.232783
2014Q2,1.269618,1.211373,1.219403,1.191791,1.260915
2014Q3,1.268016,1.237082,1.207501,1.205601,1.281004
2014Q4,1.288194,1.254686,1.198181,1.183402,1.293225
2015Q1,1.309355,1.276216,1.195037,1.165204,1.300223
2015Q2,1.317723,1.268364,1.184707,1.191921,1.303182
2015Q3,1.311138,1.267477,1.168875,1.16017,1.294652
2015Q4,1.301276,1.261398,1.149225,1.085312,1.280343
2016Q1,1.300747,1.257852,1.122838,0.945663,1.270455
2016Q2,1.305098,1.276089,1.14552,0.917527,1.270072
2016Q3,1.312607,1.275203,1.142376,0.986577,1.272648
2016Q4,1.304418,1.254939,1.134516,0.951084,1.272648
2017Q1,1.306253,1.259119,1.139457,0.975865,1.273519
2017Q2,1.321814,1.264691,1.156299,0.976639,1.277905
2017Q3,1.324372,1.275203,1.145071,0.979608,1.280934
2017Q4,1.34002,1.274063,1.154615,1.030201,1.283128
2018Q1,1.351058,1.274316,1.160341,1.00413,1.286853
2018Q2,1.363706,1.267477,1.169324,1.028007,1.292563
2018Q3,1.367706,1.274443,1.162924,1.020134,1.298169
2018Q4,1.373943,1.276596,1.176061,1.081699,1.303356
2019Q1,1.357964,1.280268,1.184819,1.097961,1.312931
2019Q2,1.386738,1.286601,1.205816,1.094992,1.325639
2019Q3,1.42781,1.311677,1.201213,1.115901,1.338799
2019Q4,1.462167,1.318896,1.214125,1.126484,1.350254
2020Q1,1.551116,1.325861,1.216483,1.150878,1.361152
2020Q2,1.489031,1.334726,1.239165,1.197728,1.376993
2020Q3,1.350666,1.353723,1.274534,1.221477,1.403349
2020Q4,1.533539,1.369934,1.293061,1.217605,1.436321
2021Q1,1.699576,1.400836,1.347968,1.228317,1.471868
2021Q2,1.673333,1.423759,1.369077,1.229349,1.512464
2021Q3,1.601891,1.454281,1.403885,1.275555,1.565768
2021Q4,1.695655,1.488095,1.482147,1.374548,1.64038
2022Q1,1.798554,1.532548,1.537615,1.562339,1.723975
2022Q2,1.859528,1.570035,1.5713,1.656298,1.789151
2022Q3,1.91668,1.599924,1.6234,1.70586,1.823794
2022Q4,1.981003,1.614868,1.595104,1.717346,1.839566
2023Q1,2.032875,1.631839,1.614979,1.690501,1.852622
2023Q2,2.038607,,1.651808,1.789365,
2023Q3,2.132747,,,,
2023Q4,2.18406,,,,
2024Q1,2.316191,,,,
2024Q2,2.409394,,,,
2024Q3,2.480378,,,,
2024Q4,2.49822,,,,
2025Q1,2.540868,,,,
2025Q2,2.569234,,,,
2025Q3,2.516247,,,,
2025Q4,2.506258,,,,
